input,output
What is the relationship between system complexity and insecurity?,"System complexity directly leads to insecurity. As a system becomes more complex, the number of potential vulnerabilities and attack surfaces increases, making it more challenging to provide a protected environment for data and its processing."
What security measures are needed for a standalone computer with a single user and a monoprogram?,"For a standalone computer used by a single user running a monoprogram, the primary security measure required is Physical security. This involves protecting the physical hardware from unauthorized access or damage."
How do security requirements change for a standalone computer with a single user running multiple programs?,"For a standalone computer with a single user running multiple programs, the security requirements expand to include Physical security and Process protection. Physical security safeguards the hardware, while Process protection ensures that individual programs operate securely and do not interfere with each other or the system's integrity."
What additional security considerations arise for a standalone computer with multiple users?,"A standalone computer with multiple users requires Physical security, Process protection, Data protection, and User authentication. Data protection ensures the confidentiality and integrity of data, while User authentication verifies the identity of users accessing the system, preventing unauthorized access."
What are the full security requirements for a networked computer?,"A networked computer demands the most comprehensive set of security measures: Physical security, Process protection, Data protection, User authentication, and Communication protection. Communication protection secures data transmission over the network, safeguarding against eavesdropping or tampering during transit, in addition to the other layers of security."
"Explain the concept of ""Physical security"" in the context of computer systems.","Physical security, in the context of computer systems, refers to the protection of the hardware and infrastructure from physical threats. This includes measures to prevent unauthorized access, theft, damage, or environmental hazards to the computer equipment itself."
"What is ""Process protection"" and when is it required?","Process protection is a security measure that ensures individual programs or processes running on a computer system operate in isolation and do not maliciously or accidentally interfere with other processes or the operating system. It is required in systems that run multiple programs, such as a standalone computer with a single user running multiprograms, or any system with multiple users or network connectivity."
"Define ""Data protection"" and its relevance.","Data protection refers to the measures taken to safeguard data from unauthorized access, corruption, or loss. It is relevant in systems where multiple users might access shared data or where data is sensitive, ensuring confidentiality, integrity, and availability. For example, it is a requirement for standalone computers with multiple users and networked computers."
"What is ""User authentication"" and why is it important?","User authentication is the process of verifying the identity of a user attempting to access a computer system or resource. It is important because it ensures that only authorized individuals can gain access, thereby preventing unauthorized access, maintaining data integrity, and enforcing access control policies. It is required in systems with multiple users or network access."
"What does ""Communication protection"" entail for networked systems?","Communication protection for networked systems entails securing the data and control signals exchanged between computers over a network. This involves measures like encryption and secure protocols to prevent eavesdropping, tampering, or unauthorized interception of information during transmission. It is a critical requirement for networked computers due to the inherent risks of data exposure over a network."
How do system users contribute to insecurity?,"System users contribute to insecurity in two primary ways: first, by not using security features correctly, which can manifest as misconfiguration; and second, by prioritizing convenience, leading them to disable security configurations that they perceive as inconvenient."
Provide examples of how system users can cause insecurity.,"System users can cause insecurity through misconfiguration, which means security features are not set up or used properly. Another example is when users, seeking convenience, disable certain security configurations, inadvertently creating vulnerabilities in the system."
In what ways do system developers lead to insecurity?,"System developers lead to insecurity when security features are not designed correctly or when security components are not implemented correctly. Furthermore, developers are human and, like all humans, are prone to making mistakes, which can introduce vulnerabilities into the system."
What role do external parties play in leading to insecurity?,"External parties contribute to insecurity primarily through the manipulation of an individual's trust for profit. This often involves tactics such as social engineering, where individuals are deceived into revealing sensitive information or performing actions that compromise security."
What is social engineering?,"Social engineering is a manipulative technique used by external parties to exploit human psychology, often for profit, by tricking individuals into divulging confidential information or performing actions that compromise the security of a system or organization. It relies on manipulating an individual's trust rather than technical vulnerabilities."
"What are the main components of the ""Basics of Cyber Security"" according to the document?","The main components of the ""Basics of Cyber Security"" include the Threat Model, Security Strategies, and Design Principles of Computer Security."
What is a Threat Model in cyber security?,"A Threat Model in cyber security is a structured approach used to describe the adversaries and threats that a system might face. It considers what is trusted and not trusted within the system, the resources, capabilities, and knowledge of untrusted entities, and the security properties the system aims to achieve."
What are the key elements considered within a Threat Model?,"The key elements considered within a Threat Model are the Trusted Computing Base (TCB), Attacker's assumption, and Security properties. It also describes what is trusted and not trusted, the resources, capabilities, and knowledge of untrusted entities, and the actions they can perform, along with the security properties the system aims to achieve."
"Explain the concept of ""Trusted Computing Base (TCB)"" as part of a Threat Model.","The Trusted Computing Base (TCB) is a fundamental concept within a Threat Model, representing a set of components (e.g., software, OS, firmware, hardware) that are assumed to be trusted to ensure the security of the cyber system. The Threat Model defines what is included in this trusted base and, by extension, what is not trusted."
"What are ""Attacker's assumptions"" in a Threat Model?","Attacker's assumptions in a Threat Model describe the characteristics of potential adversaries, including their type (active or passive), their knowledge (e.g., system design, source code, or lack thereof), and their capabilities (e.g., computing resources, interaction points, time constraints). These assumptions help in understanding the potential threats and designing appropriate defenses."
"What are ""Security properties"" in the context of a Threat Model?","Security properties, in the context of a Threat Model, are the specific security goals or attributes that the system aims to achieve. These properties define what a secure system should uphold, such as confidentiality, integrity, or availability, and are used to evaluate the effectiveness of security measures against identified threats."
