input,output
Explain how system complexity relates to insecurity.,"System complexity leads to insecurity because as systems become more complex, the number of security requirements and potential vulnerabilities increases. For instance, a simple standalone computer with a single user and monoprogram only requires physical security, whereas a networked computer demands physical security, process protection, data protection, user authentication, and communication protection, each adding layers of complexity and potential points of failure."
List the security requirements for a standalone computer with a single user running a monoprogram.,"For a standalone computer with a single user running a monoprogram, the primary security requirement is physical security. Physical security refers to the protection of hardware and infrastructure from physical threats, unauthorized access, or damage."
What security measures are necessary for a standalone computer used by a single user running multiple programs?,"A standalone computer used by a single user running multiple programs requires both physical security and process protection. Physical security involves safeguarding the hardware and infrastructure from physical threats. Process protection refers to mechanisms that ensure that different programs or processes running concurrently do not interfere with each other's execution or data, preventing unauthorized access or modification."
Describe the security requirements for a standalone computer with multiple users.,"A standalone computer with multiple users necessitates physical security, process protection, data protection, and user authentication. Physical security protects the hardware. Process protection ensures that concurrent processes do not interfere. Data protection involves safeguarding data from unauthorized access, modification, or destruction. User authentication is the process of verifying the identity of a user, typically through credentials like passwords, to ensure only authorized individuals can access the system."
Detail the comprehensive security requirements for a networked computer.,"A networked computer has the most extensive security requirements, including physical security, process protection, data protection, user authentication, and communication protection. Physical security protects the hardware. Process protection isolates running programs. Data protection secures stored information. User authentication verifies user identities. Communication protection involves securing data transmitted over a network, ensuring its confidentiality, integrity, and availability against eavesdropping, tampering, or denial-of-service attacks."
Define 'Physical security' in the context of computer systems.,"Physical security, in the context of computer systems, refers to the protection of hardware, infrastructure, and physical assets from physical threats, unauthorized access, theft, damage, or environmental hazards. This includes measures like secure facilities, locks, surveillance, and environmental controls."
What is 'Process protection' and why is it important?,"Process protection refers to the mechanisms that ensure that different programs or processes running concurrently on a system do not interfere with each other's execution, memory space, or data. It is important to prevent one process from accessing or corrupting the resources of another, thereby maintaining system stability and security."
Explain 'Data protection' as a security requirement.,"Data protection, as a security requirement, involves safeguarding data from unauthorized access, modification, disclosure, or destruction. This includes measures such as encryption, access controls, and backup strategies to ensure the confidentiality, integrity, and availability of information."
What is the purpose of 'User authentication'?,"The purpose of user authentication is to verify the identity of a user attempting to access a computer system or network. This process typically involves validating credentials, such as usernames and passwords, biometric data, or security tokens, to ensure that only authorized individuals can gain access."
Describe 'Communication protection' in a networked computer environment.,"Communication protection in a networked computer environment refers to the security measures implemented to safeguard data transmitted over a network. This includes ensuring the confidentiality (preventing eavesdropping), integrity (preventing tampering), and availability (preventing denial of service) of information as it travels between systems, often through encryption and secure protocols."
How do 'System Users' contribute to insecurity?,"System Users contribute to insecurity primarily through two main ways: first, by not using security features correctly, which often manifests as misconfiguration; and second, by prioritizing convenience over security, leading them to disable security configurations that they perceive as inconvenient. Misconfiguration refers to incorrect or suboptimal settings of security controls, which can leave systems vulnerable."
What role do 'System Developers' play in creating system insecurity?,"System Developers can inadvertently create system insecurity if security features are not designed correctly or if security components are not implemented correctly. Furthermore, developers are humans, and like all humans, they can make mistakes during the design and implementation phases, leading to vulnerabilities."
Explain how 'External Parties' can lead to insecurity.,"External Parties can lead to insecurity by manipulating an individual's trust for profit. A common example of this is social engineering, which is a psychological manipulation of people into performing actions or divulging confidential information. This exploitation of human trust bypasses technical security measures."
Define 'misconfiguration' in the context of system insecurity.,"Misconfiguration refers to the incorrect or suboptimal setup of security features or system settings. This can leave systems vulnerable to attacks, as security controls may not operate as intended or may have unintended loopholes that attackers can exploit."
What is 'social engineering' and how does it contribute to insecurity?,"Social engineering is a manipulative technique that exploits human psychology to trick individuals into performing actions or divulging confidential information. It contributes to insecurity by bypassing technical security measures, as attackers manipulate trust to gain unauthorized access or information, often for profit."
What are the main components of a 'Threat Model' according to the basics of cyber security?,"According to the basics of cyber security, the main components of a Threat Model include the Trusted Computing Base (TCB), the attacker's assumptions, and the security properties the system aims to achieve."
List the three core areas covered under the 'Basics of Cyber Security'.,"The three core areas covered under the 'Basics of Cyber Security' are Threat Model, Security Strategies, and Design Principles of Computer Security."
Provide a comprehensive description of a 'Threat Model'.,"A Threat Model is a structured approach used to describe the adversaries and threats under consideration for a system. It encompasses several key aspects: identifying what components are trusted and what are not trusted (the Trusted Computing Base or TCB), understanding the resources, capabilities, and knowledge of untrusted entities, including the actions they can perform, and defining the specific security properties the system aims to achieve."
What are the key elements to consider when describing adversaries and threats in a Threat Model?,"When describing adversaries and threats in a Threat Model, the key elements to consider are: first, identifying what is trusted and what is not trusted, which refers to the Trusted Computing Base (TCB); second, for the untrusted entities, understanding their resources, capabilities, and knowledge, as well as the actions they can perform; and third, determining what security properties the system aims to achieve."
How does the Trusted Computing Base (TCB) fit into a Threat Model?,"In a Threat Model, the Trusted Computing Base (TCB) is a critical element that defines what parts of the computer system are considered trusted. By identifying the TCB, the threat model helps to delineate the boundaries of trust, allowing for a clearer understanding of which components are assumed to be secure and which are potential targets for attackers."
What information about untrusted entities is crucial for a Threat Model?,"For untrusted entities, a Threat Model must consider their resources, capabilities, and knowledge. This includes understanding what assets they possess, what actions they are capable of performing, and what information they might have about the system, all of which inform the potential threats they pose."
What is the role of 'Security Properties' in a Threat Model?,"Security Properties in a Threat Model define the specific goals the system aims to achieve in terms of security. These properties, such as confidentiality, integrity, and availability, guide the design and evaluation of security mechanisms by specifying what needs to be protected and against what types of attacks."
Define 'Trust' in the context of a cyber system.,"In the context of a cyber system, 'Trust' refers to the degree to which an entity is expected to behave in a predictable and secure manner. This expectation includes both what the entity is anticipated to do (e.g., an anti-malware detecting malicious programs) and what it is expected not to do (e.g., a website not exposing private data)."
Provide examples of what an entity is 'expected to do' to demonstrate trust.,"Examples of what an entity is 'expected to do' to demonstrate trust include an anti-malware program detecting malicious programs, or a system preventing illegal account logins. These actions align with the expected secure behavior of the entity."
Provide examples of what an entity is 'expected not to do' to demonstrate trust.,"Examples of what an entity is 'expected not to do' to demonstrate trust include a website not exposing private data to third parties, or an application not injecting viruses into your system. These are behaviors that, if violated, would indicate a breach of trust."
Why is it important to make clear what should be trusted in a cyber system?,"It is important to make clear what should be trusted in a cyber system because security cannot be established if no entities are trusted. If the boundaries of trust are not clearly defined, the designed security solutions may fail in practice, as assumptions about component behavior could be violated, leading to vulnerabilities."
What are the consequences if trust is not clearly defined in a cyber system?,"If trust is not clearly defined in a cyber system, the consequences are that security cannot be effectively established. The designed security solutions may fail in practice because the system's components might not behave as expected, leading to vulnerabilities and potential breaches."
Define 'Entity' as it relates to trust in a cyber system.,"An 'entity' in the context of trust in a cyber system refers to any component, program, user, or system that interacts within the cyber environment and whose behavior is subject to expectations regarding security. Trust is assigned to these entities based on what they are expected to do and not to do."
Define the 'Trusted Computing Base (TCB)'.,"The Trusted Computing Base (TCB) is defined as a set of components, which can include software, operating systems (OS), firmware, and hardware, that need to be trusted to ensure the overall security of a cyber system. These components are assumed to be secure and operate correctly."
What types of components are typically included in the Trusted Computing Base (TCB)?,"The Trusted Computing Base (TCB) typically includes a set of essential components such as software, the operating system (OS), firmware, and hardware. These are the foundational elements that must be trusted to maintain the security of the entire cyber system."
What is the implication of components being 'outside of the TCB'?,The implication of components being 'outside of the TCB' is that they can be malicious and misbehave. This means they are not inherently trusted and must be treated as potential sources of threats or vulnerabilities that the TCB is designed to protect against.
What are the two main considerations when designing a security solution concerning the TCB?,"When designing a security solution, there are two main considerations concerning the TCB: first, to assume all components inside the TCB are secure, provided there are valid justifications for this trust; and second, to prevent any damages from components that are outside of the TCB."
Why is it necessary to assume components inside the TCB are secure?,"It is necessary to assume components inside the TCB are secure because the TCB forms the foundation of trust for the entire cyber system. This assumption, however, must be backed by valid justifications, such as rigorous testing, formal verification, or secure design principles, to ensure the integrity of the security solution."
What is the role of a security solution regarding components outside the TCB?,"The role of a security solution regarding components outside the TCB is to prevent any damages that these potentially malicious or misbehaving components might cause. This involves implementing safeguards and controls to isolate, monitor, and restrict the actions of untrusted elements."
